fecha,hora,pm10_ugm3,humedad_relativa_pct,direccion_viento_grados,velocidad_viento_ms,precipitacion_mm,condicion_lluvia,estacion_anio,n_eventos,numero_taladros,tonelaje_tm,anfo_kg,emulsion_kg,explosivo_total_kg,p80,mes,tiempo_taladro_ms,tiempo_fila_ms,n_retardos_taladro,n_retardos_fila
2023-03-13,12,4.3,64.0,9.0,0.7,0.0,Seco,Verano,2,276,137858.0,6324,26127,32451,10.11,3,17.0,142.0,1,1
2023-03-14,12,5.2,83.0,13.0,0.2,0.1,Lluvia ligera,Verano,1,146,65552.0,0,10294,10294,5.85,3,17.0,182.0,2,1
2023-03-15,13,4.0,61.0,29.0,0.0,0.0,Seco,Verano,1,211,115037.0,4937,20298,25235,5.59,3,17.0,42.0,2,1
2023-03-16,13,6.7,54.0,303.0,2.7,0.0,Seco,Verano,1,110,73750.0,0,11077,11077,5.326,3,26.0,182.0,2,1
2023-03-17,12,7.7,60.0,294.0,0.8,0.0,Seco,Verano,2,336,123277.0,3380,30321,33700,11.059999999999999,3,0.0,182.0,1,1
2023-03-18,13,10.4,66.0,320.0,3.4,0.0,Seco,Verano,1,132,61164.0,4048,9708,13756,5.59,3,11.0,182.0,2,1
2023-03-19,12,9.0,63.0,344.0,1.7,0.0,Seco,Verano,3,161,10031.0,3127,15519,18646,15.501999999999999,3,50.0,192.0,1,1
2023-03-19,13,9.2,56.0,304.0,3.4,0.0,Seco,Verano,1,73,114462.0,0,9172,9172,6.141,3,14.0,42.0,3,1
2023-03-21,12,21.9,48.0,305.0,2.3,0.0,Seco,Otoño,1,93,49098.0,2118,8650,10767,4.744,3,17.0,75.0,2,2
2023-03-21,14,20.9,44.0,299.0,2.4,0.0,Seco,Otoño,1,56,27534.0,995,4092,5088,3.75,3,17.0,25.0,1,2
2023-03-22,12,60.0,40.0,327.0,1.9,0.0,Seco,Otoño,1,108,56200.0,2588,10659,13247,6.141,3,17.0,100.0,1,1
2023-03-22,13,55.8,39.0,337.0,1.0,0.0,Seco,Otoño,2,386,155850.0,10671,30147,40818,10.176,3,7.0,332.0,1,1
2023-03-23,13,65.3,29.0,305.0,2.8,0.0,Seco,Otoño,1,150,73595.0,3589,14746,18335,5.326,3,17.0,42.0,1,1
2023-03-24,12,57.1,37.0,307.0,1.5,0.0,Seco,Otoño,1,127,62245.0,2975,12231,15206,3.75,3,17.0,42.0,1,1
2023-03-24,13,30.3,41.0,308.0,2.2,0.0,Seco,Otoño,1,158,77447.0,3543,14568,18111,4.742,3,17.0,25.0,1,1
2023-03-25,12,34.3,63.0,306.0,1.4,0.0,Seco,Otoño,1,194,96468.0,4371,18014,22385,5.82,3,17.0,25.0,1,2
2023-03-26,12,17.7,68.0,306.0,2.2,0.0,Seco,Otoño,1,91,38934.0,1924,7902,9826,5.82,3,7.0,182.0,1,1
2023-03-27,12,10.9,82.0,310.0,0.0,0.0,Seco,Otoño,1,89,,2139,8788,10927,4.42,3,3.0,182.0,1,1
2023-03-27,13,10.8,74.0,324.0,2.2,0.0,Seco,Otoño,2,139,119097.0,1647,16199,17846,8.64,3,24.0,224.0,1,1
2023-03-28,12,17.9,75.0,318.0,2.0,0.0,Seco,Otoño,1,102,53426.0,2457,10102,12559,5.17,3,17.0,100.0,1,1
2023-03-29,12,8.5,68.0,341.0,1.2,0.0,Seco,Otoño,1,192,96476.0,4600,18895,23495,4.64,3,17.0,25.0,1,2
2023-04-01,12,8.9,81.0,357.0,1.2,0.0,Seco,Otoño,1,208,76070.0,4535,18646,23182,5.01,4,7.0,182.0,1,1
2023-04-02,12,31.2,73.0,310.0,2.6,0.0,Seco,Otoño,1,162,81006.0,3431,14116,17547,6.06,4,17.0,42.0,1,2
2023-04-03,12,5.4,62.0,319.0,2.2,0.0,Seco,Otoño,3,279,136828.0,3997,18747,22744,14.88,4,14.0,482.0,1,1
2023-04-03,13,8.0,61.0,313.0,2.6,0.0,Seco,Otoño,1,83,,1525,6271,7796,5.17,4,3.0,42.0,2,2
2023-04-04,12,7.2,64.0,309.0,2.5,0.0,Seco,Otoño,1,139,67622.0,4646,11094,15740,4.36,4,7.0,182.0,2,1
2023-04-04,13,7.8,59.0,299.0,2.4,0.0,Seco,Otoño,1,133,57328.0,2987,12281,15269,4.87,4,17.0,25.0,1,2
2023-04-05,12,23.4,75.0,323.0,0.6,0.0,Seco,Otoño,2,191,86018.0,4072,16729,20801,9.75,4,14.0,364.0,1,1
2023-04-06,12,7.9,63.0,321.0,1.1,0.0,Seco,Otoño,1,136,65275.0,3071,12625,15696,6.01,4,7.0,182.0,2,1
2023-04-07,12,5.8,71.0,317.0,2.5,0.0,Seco,Otoño,2,233,88828.0,2829,26170,28999,9.84,4,34.0,257.0,1,1
2023-04-08,12,17.2,77.0,328.0,0.9,0.0,Seco,Otoño,2,157,68184.0,1417,14096,15514,10.466999999999999,4,43.0,224.0,1,1
